,all_values,high_outliers,low_outliers,q0,q1,q2,q3,q4,word
0,"60.0,99.0,90.0,99.0,100.0,97.0,95.0,80.0,65.0,90.0,98.0,85.0,90.0,95.0,80.0,95.0,75.0,95.0,99.0,80.0,99.0,80.0,70.0,99.0,98.0,95.0,95.0,95.0,80.0,98.0,90.0,97.0,95.0,99.0,95.0,99.0,90.0,95.0,95.0,99.0,100.0,80.0,90.0,95.0,98.0,99.0,95.0,99.0,95.0,95.0,90.0,95.0,90.0,95.0,95.0,95.0,99.0,90.0,98.0,90.0,3.0,99.0,90.0,85.0,95.0,90.0,90.0,99.0,96.0,95.0,96.0,95.0,80.0,95.0,90.0,99.0,95.0,99.0,95.0,96.0,95.0,95.0,95.0,90.0,95.0,90.0,99.0,97.0,100.0,99.5,80.0,95.0,95.0,99.0,90.0,90.0,98.0,80.0,97.0,99.0,95.0,90.0,97.0,80.0,95.0,85.0,90.0,95.0,90.0,80.0,99.0,99.0,95.0,90.0,95.0,95.0,99.9,95.0,90.0,100.0,99.0,95.0,99.0",,"60.0,65.0,75.0,70.0,3.0",80.0,90.0,95.0,98.0,100.0,Almost Certain
1,"85,90,90,90,85,85,85,80,65,80,90,90,85,80,70,85,90,70,95,75,95,90,100,95,75,90,90,90,85,90,95,85,80,80,85,95,85,95,70,95,75,95,85,80,95,85,95,90,80,95,90,80,70,90,90,90,90,85,80,85,70,90,80,97,90,80,95,95,97,80,90,80,98,95,80,98,95,90,80,78,95,95,95,85,85,85,99,90,90,99,99,85,85,95,70,80,90,75,90,65,90,70,94,85,85,99,80,90,80,65,90,95,90,99,85,99,99,95,80,98,99,90,90",,,65.0,80.0,90.0,95.0,100.0,Highly Likely
2,"80.0,80.0,85.0,85.0,85.0,90.0,80.0,90.0,70.0,65.0,85.0,95.0,80.0,75.0,60.0,80.0,75.0,90.0,80.0,66.0,90.0,70.0,95.0,80.0,80.0,85.0,80.0,90.0,90.0,80.0,90.0,75.0,70.0,80.0,80.0,90.0,85.0,75.0,65.0,75.0,85.0,60.0,80.0,75.0,85.0,75.0,80.0,80.0,80.0,80.0,70.0,70.0,50.0,90.0,85.0,70.0,80.0,70.0,80.0,80.0,25.0,90.0,65.0,95.0,85.0,90.0,90.0,90.0,90.0,95.0,75.0,40.0,90.0,85.0,70.0,90.0,95.0,80.0,85.0,85.0,90.0,90.0,85.0,80.0,75.0,85.0,85.0,84.0,80.0,70.0,90.0,80.0,75.0,85.0,90.0,90.0,95.0,70.0,85.0,80.0,80.0,70.0,85.0,80.0,85.0,95.0,80.0,80.0,80.0,80.0,80.0,75.0,85.0,99.9,60.0,80.0,95.0,70.0,85.0,85.0,90.0,90.0,75.0",,"50.0,25.0,40.0",60.0,75.0,80.0,90.0,99.9,Very Good Chance
5,"60.0,65.0,80.0,95.0,70.0,40.0,70.0,66.0,50.0,70.0,75.0,65.0,60.0,80.0,70.0,70.0,75.0,51.0,95.0,51.0,80.0,65.0,60.0,85.0,80.0,65.0,95.0,75.0,70.0,60.0,99.0,95.0,95.0,90.0,60.0,99.0,80.0,90.0,70.0,80.0,60.0,55.0,50.0,99.0,95.0,60.0,80.0,75.0,60.0,70.0,60.0,70.0,95.0,80.0,75.0,80.0,90.0,50.0,60.0,65.0,60.0,99.9,70.0,70.0,75.0,60.0,60.0,100.0,87.0,50.0,85.0,45.0,75.0,70.0,60.0,80.0,99.0,99.0,90.0,95.0,85.0,80.0,80.0,75.0,80.0,85.0,70.0,60.0,75.0,75.0,80.0,70.0,50.0,90.0,85.0,60.0,90.0,50.0,90.0,80.0,75.0,60.0,98.0,75.0,80.0,100.0,80.0,80.0,80.0,60.0,75.0,75.0,80.0,95.0,70.0,80.0,95.0,33.0,75.0,70.0,95.0,85.0,99.0",,33.0,40.0,65.0,75.0,85.0,100.0,We Believe
4,"70,75,75,75,70,65,70,75,60,60,75,70,90,65,60,75,75,65,75,66,65,75,85,70,60,60,90,70,75,70,80,60,70,70,70,70,75,70,60,67,65,80,60,65,75,90,70,75,70,80,70,60,50,80,70,60,80,55,70,80,50,90,70,75,65,70,75,65,93,75,80,80,90,75,80,84,75,60,90,68,80,80,75,70,70,75,85,70,50,80,50,60,75,70,60,60,75,35,75,55,70,50,78,70,80,90,75,66,70,70,80,55,80,20,65,75,95,80,70,75,95,65,60","93,95,95","35,20",50.0,65.0,70.0,75.0,90.0,Likely
3,"70,70,75,75,50,50,70,75,30,60,75,60,70,60,60,75,75,80,66,51,1,60,80,75,85,66,90,90,60,75,70,60,70,70,70,80,60,80,70,75,65,90,66,51,60,80,70,45,70,90,60,60,70,75,60,60,70,60,60,70,50,75,75,50,70,60,60,70,75,75,95,30,60,70,70,84,75,100,75,66,70,70,75,50,65,75,60,45,30,90,50,80,50,75,60,65,75,25,75,60,70,50,95,60,75,75,70,75,80,75,60,60,80,70,70,60,95,80,80,90,80,70,51",100,"30,1,30,30,25",45.0,60.0,70.0,75.0,95.0,Probable
6,"80,60,65,75,75,50,70,60,30,60,75,65,66,65,70,65,80,80,75,51,80,70,70,90,55,70,90,60,66,60,70,55,65,75,65,80,70,70,65,80,60,75,60,90,90,80,70,35,70,60,60,60,80,80,60,60,70,75,75,80,70,25,70,95,85,70,51,75,70,75,70,50,80,65,80,84,80,70,75,66,75,80,70,60,65,75,70,75,40,60,50,90,70,60,50,65,90,35,75,75,60,50,97,60,70,85,60,75,70,60,51,60,75,60,70,51,90,80,80,85,80,70,60",,"30,35,25,35",40.0,60.0,70.0,75.0,97.0,Probably
7,"85,55,60,51,60,75,60,51,55,75,60,55,55,55,60,60,55,51,60,51,60,60,50,51,60,51,60,60,55,60,55,55,60,60,51,60,55,60,55,60,60,55,55,55,60,55,60,40,60,75,55,55,95,60,65,55,70,60,51,60,8,75,60,51,60,58,51,51,85,51,60,60,60,55,60,60,60,55,60,51,60,60,60,60,60,60,80,70,60,51,55,60,60,55,40,60,60,60,60,55,55,60,60,60,70,67,60,60,40,60,51,51,55,60,60,51,51,51,60,51,60,60,51","85,75,75,75,95,70,75,85,80,70,70","40,8,40,40",50.0,55.0,60.0,60.0,67.0,Better than Even
8,"50,50,50,50,50,50,50,50,50,50,51,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,52,50,50,50,50,50,55,50,50,50,50,50,50,50,45,50,50,50,50,50,50,50,50,50,80,50,50,50,50,40,50,55,90,50,50,50,50,49,50,50,60,50,50,50,50,50,50,50,50,50,50,50,50,50,55,50,50,50,50,52,40,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,60,50","51,52,55,80,55,90,60,55,52,60","45,40,49,40",50.0,50.0,50.0,50.0,50.0,About Even
12,"10,40,80,5,25,30,15,30,20,40,25,20,33,25,30,30,25,5,5,49,20,40,25,10,33,40,10,40,35,40,20,30,1,20,40,10,10,30,25,20,25,45,33,5,15,20,30,6,30,15,30,30,30,20,25,20,70,30,25,20,10,35,10,15,25,40,10,10,40,30,30,40,20,30,40,10,20,15,30,20,5,15,35,30,30,20,5,1,2,40,40,5,35,40,30,30,15,10,20,30,30,20,25,10,20,70,25,20,30,60,40,30,20,10,10,49,1,10,20,15,3,10,25","80,70,70,60",,1.0,15.0,25.0,30.0,49.0,Probably Not
9,"15,10,15,25,25,30,10,5,25,25,30,10,10,35,30,20,40,50,20,33,10,37,5,5,10,1,5,10,20,30,10,5,10,15,30,1,35,30,30,33,30,45,5,15,35,40,10,20,35,8,30,20,40,10,15,20,80,10,40,10,89,1,20,25,15,35,10,5,20,1,35,10,5,15,20,20,1,10,30,10,5,20,20,20,35,15,5,20,8,30,20,50,65,35,5,5,35,50,10,30,30,20,5,25,30,85,20,20,30,60,40,20,10,3,35,10,5,33,15,15,3,55,10","80,89,65,85",,1.0,10.0,20.0,30.0,60.0,We Doubt
11,"5,40,25,25,20,5,10,33,35,25,15,20,10,30,30,35,25,10,10,25,35,10,30,20,5,33,25,20,25,30,5,10,25,5,30,5,20,10,30,15,10,5,33,25,30,5,10,20,20,5,30,40,5,20,30,5,80,20,25,20,90,10,20,15,15,35,10,25,15,10,25,15,30,5,40,10,5,5,10,25,5,10,25,20,30,20,20,10,6,5,5,20,20,30,10,20,25,25,25,20,30,20,10,5,20,80,25,30,30,80,30,10,20,1,20,10,10,10,29,25,30,30,25","80,90,80,80",,1.0,10.0,20.0,30.0,40.0,Unlikely
10,"5,20,25,5,5,0,15,0,20,30,1,40,30,40,10,10,20,10,10,49,2,30,1,5,15,5,10,5,33,15,1,10,35,20,20,5,20,10,25,1,4,5,15,0,20,2,0,5,20,5,40,30,5,20,15,70,70,40,25,10,1,1,5,20,20,35,5,10,30,30,5,1,40,5,30,1,5,0,20,33,20,70,15,30,25,15,0,10,1,7,0,5,10,10,10,1,20,0,25,10,20,0,15,1,10,100,30,30,10,80,40,20,15,1,20,5,5,10,20,5,3,8,20","49,70,70,70,100,80",,0.0,5.0,10.0,22.5,40.0,Improbable
16,"7.0,30.0,10.0,15.0,10.0,10.0,20.0,20.0,10.0,20.0,5.0,15.0,5.0,5.0,30.0,5.0,15.0,40.0,15.0,25.0,5.0,3.0,20.0,5.0,10.0,10.0,10.0,10.0,10.0,20.0,1.0,30.0,10.0,5.0,10.0,10.0,10.0,10.0,15.0,20.0,40.0,15.0,15.0,5.0,10.0,15.0,5.0,5.0,30.0,20.0,10.0,10.0,20.0,5.0,15.0,10.0,30.0,20.0,20.0,10.0,6.0,3.0,15.0,30.0,10.0,55.0,10.0,10.0,10.0,10.0,7.0,20.0,10.0,10.0,10.0,10.0,5.0,25.0,40.0,10.0,5.0,10.0,10.0,20.0,20.0,10.0,10.0,10.0,10.0,1.0,40.0,10.0,15.0,15.0,5.0,10.0,20.0,0.0,10.0,20.0,6.0,20.0,20.0,10.0,25.0,5.0,20.0,30.0,20.0,70.0,10.0,2.0,15.0,0.01,10.0,10.0,10.0,5.0,5.0,10.0,30.0,5.0,30.0","40.0,40.0,55.0,40.0,40.0,70.0",,0.0,10.0,10.0,20.0,30.0,Chances are Slight
13,"7.0,5.0,10.0,5.0,15.0,20.0,10.0,10.0,15.0,5.0,5.0,15.0,15.0,10.0,20.0,15.0,10.0,30.0,5.0,10.0,10.0,15.0,15.0,1.0,4.0,10.0,25.0,15.0,10.0,35.0,2.0,20.0,20.0,10.0,15.0,0.05,15.0,10.0,10.0,15.0,25.0,5.0,15.0,10.0,15.0,1.0,5.0,10.0,10.0,20.0,10.0,10.0,20.0,5.0,10.0,10.0,90.0,15.0,10.0,10.0,7.0,5.0,15.0,20.0,10.0,30.0,10.0,35.0,10.0,15.0,15.0,15.0,10.0,4.0,10.0,5.0,5.0,1.0,10.0,5.0,5.0,5.0,5.0,20.0,10.0,5.0,5.0,1.0,10.0,3.0,10.0,15.0,5.0,5.0,10.0,10.0,10.0,25.0,5.0,5.0,20.0,10.0,7.0,20.0,10.0,20.0,10.0,20.0,20.0,90.0,20.0,5.0,10.0,1.0,20.0,25.0,10.0,10.0,10.0,2.0,10.0,5.0,20.0","35.0,90.0,35.0,90.0",,0.05,5.0,10.0,15.0,30.0,Little Chance
15,"10.0,5.0,5.0,1.0,10.0,2.0,5.0,1.0,10.0,5.0,3.0,30.0,5.0,10.0,10.0,15.0,10.0,30.0,5.0,25.0,5.0,7.0,15.0,5.0,0.01,5.0,5.0,15.0,5.0,10.0,0.01,10.0,5.0,5.0,5.0,5.0,30.0,5.0,5.0,5.0,20.0,5.0,10.0,10.0,3.0,1e-09,2.0,5.0,5.0,5.0,10.0,10.0,20.0,10.0,5.0,5.0,90.0,15.0,5.0,10.0,1.0,1.0,5.0,10.0,5.0,20.0,1.0,5.0,6.0,5.0,10.0,75.0,2.0,2.0,10.0,2.0,5.0,2.0,20.0,20.0,1.0,5.0,95.0,15.0,1.0,10.0,5.0,1.0,5.0,1.0,90.0,2.0,5.0,5.0,5.0,5.0,5.0,0.0,15.0,5.0,2.0,30.0,10.0,5.0,15.0,5.0,10.0,10.0,15.0,90.0,10.0,5.0,5.0,0.001,10.0,5.0,1.0,1.0,5.0,2.0,0.1,10.0,5.0","30.0,30.0,25.0,30.0,20.0,20.0,90.0,20.0,75.0,20.0,20.0,95.0,90.0,30.0,90.0",,0.0,5.0,5.0,10.0,15.0,Highly Unlikely
14,"5.0,1.0,1.0,1.0,5.0,1.0,3.0,10.0,5.0,5.0,1.0,2.0,2.0,2.0,10.0,5.0,10.0,10.0,1.0,1.0,1.0,1.0,0.0,0.1,0.1,1.0,5.0,5.0,5.0,5.0,0.001,2.0,0.5,1.0,3.0,0.05,95.0,5.0,10.0,1.0,2.0,0.5,3.0,1.0,5.0,1e-08,1.0,1.0,5.0,5.0,5.0,5.0,10.0,98.0,5.0,1.0,99.0,1.0,10.0,5.0,1.0,0.1,5.0,5.0,5.0,20.0,1.0,1.0,3.0,3.0,8.0,5.0,10.0,2.0,10.0,1.0,1.0,0.5,5.0,1.0,0.1,5.0,1.0,10.0,1.0,5.0,0.0,0.0,1.0,0.5,0.0,5.0,3.0,1.0,5.0,1.0,1.0,0.0,5.0,1.0,2.0,5.0,2.0,2.0,1.0,10.0,5.0,10.0,10.0,95.0,20.0,5.0,5.0,0.0001,5.0,1.0,1.0,1.0,1.0,0.0,0.1,1.0,1.0","95.0,98.0,99.0,20.0,95.0,20.0",,0.0,1.0,2.0,5.0,10.0,Almost No Chance
